,0
0,-0.0002907953
1,0.023243714
2,0.0038399387
3,-9.502662e-05
4,-9.16631e-06
5,-4.21453e-05
6,0.03822326
7,-5.10307e-05
8,0.034390926
9,-0.000104993655
10,-3.9226317e-05
11,-1.2010962e-05
12,0.012276893
13,-1.6556578e-06
14,-0.0008766462
15,-0.00045772304
16,-0.00092915504
17,0.070444845
18,-0.0002704088
19,0.08713465
20,-0.0008549462
21,-0.00062737684
22,-0.00067640725
23,0.013722761
24,0.17976265
25,-6.815785e-05
26,0.12852623
27,0.06413785
28,-0.00020998585
29,0.12686263
30,-4.878224e-05
31,-2.0191976e-05
32,-6.5200424e-05
33,0.31952497
34,-0.00017614756
35,0.24839798
36,0.14494479
37,-0.00013988103
38,-1.6193297e-05
39,-4.8204063e-05
40,-9.406665e-05
41,-0.00017613485
42,-2.0022802e-05
43,-5.841459e-05
44,-0.00010288715
45,-1.3859735e-06
46,-3.2883763e-06
47,-1.6092417e-05
48,-8.781297e-06
49,-2.559297e-05
50,-2.854872e-05
51,0.03978658
52,0.00087630126
53,0.022147845
54,0.0009963706
55,0.0009944396
56,0.00097186014
57,0.0045682522
58,-7.6166107e-06
59,-3.4856512e-06
60,-3.19362e-05
61,-2.8335588e-05
62,-1.7644898e-05
63,0.08763204
64,0.000989665
65,0.027633889
66,0.03127725
67,0.056736026
68,0.040487822
69,0.0008291107
70,0.0008183067
71,0.00097238837
72,0.015220492
73,0.017240213
74,0.02752177
75,0.001001098
76,0.0009439332
77,0.0009414051
